"","grid_id","times_sampled","mean_count","hotpvalue_3xmean"
"10027",10027,15,16.6451266666667,1e-04
"10028",10028,15,1.61636,0
"10029",10029,15,0.4106,0
"10030",10030,12,0.135625,0
"10041",10041,7,0,0
"10042",10042,7,0.0358285714285714,0
"10043",10043,7,0.1527,0
"10044",10044,6,0.0305,0
"10045",10045,6,0.203966666666667,0
"10046",10046,6,0.168533333333333,0
"10047",10047,6,0,0
"10048",10048,6,0.0428833333333333,0
"10049",10049,6,1.1148,0
"10050",10050,6,2.01375,0
"10051",10051,6,14.75525,0
"10053",10053,7,0,0
"10161",10161,15,0.05416,0
"10162",10162,15,26.3556133333333,0.3564
"10163",10163,15,19.9335,0.006
"10164",10164,15,0.12702,0
"10165",10165,15,0.05858,0
"10166",10166,12,7.61101666666667,0
"10167",10167,12,0,0
"10180",10180,6,0.0459166666666667,0
"10181",10181,6,0,0
"10182",10182,6,0,0
"10183",10183,6,0,0
"10184",10184,6,0.121233333333333,0
"10185",10185,6,16.9047,1e-04
"10186",10186,6,2.03406666666667,0
"10187",10187,6,41.4961833333333,0.9668
"10188",10188,7,0.0733285714285714,0
"10189",10189,7,0.0921285714285714,0
"10294",10294,15,40.65288,0.9623
"10295",10295,15,21.5399066666667,0.0315
"10296",10296,15,10.5478066666667,0
"10297",10297,15,2.08812666666667,0
"10298",10298,12,2.37795,0
"10299",10299,12,0.05765,0
"10315",10315,6,0.0457666666666667,0
"10316",10316,6,0.102683333333333,0
"10317",10317,6,7.05981666666667,0
"10318",10318,6,4.492,0
"10319",10319,6,52.5934166666667,0.9924
"10321",10321,7,0.217728571428571,0
"10334",10334,20,0.71446,0
"10335",10335,10,0.16734,0
"10424",10424,15,27.6097533333333,0.4762
"10425",10425,15,18.8082666666667,0.0013
"10426",10426,15,5.31856,0
"10427",10427,15,1.02654,0
"10428",10428,12,0.981725,0
"10429",10429,12,1.14589166666667,0
"10447",10447,6,0.1815,0
"10448",10448,4,0.1494,0
"10459",10459,20,1.22728,0
"10460",10460,20,0.400005,0
"10548",10548,15,36.4980466666667,0.919
"10549",10549,15,7.82889333333333,0
"10550",10550,15,0.145973333333333,0
"10551",10551,12,0.0576833333333333,0
"10552",10552,12,0.211416666666667,0
"10553",10553,12,1.60256666666667,0
"10572",10572,4,0.81735,0
"10579",10579,20,5.2042,0
"10580",10580,20,2.65144,0
"10581",10581,20,2.725935,0
"10582",10582,20,1.719715,0
"10657",10657,17,25.4375705882353,0.2672
"10658",10658,17,35.7561058823529,0.9061
"10659",10659,17,1.65988235294118,0
"10660",10660,17,3.02791176470588,0
"10661",10661,17,0.505552941176471,0
"10662",10662,17,0,0
"10682",10682,4,0.625025,0
"10683",10683,5,0.32398,0
"10689",10689,20,0.95747,0
"10690",10690,20,2.81244,0
"10691",10691,20,12.554285,0
"10692",10692,20,0.33349,0
"10764",10764,17,4.80548235294118,0
"10765",10765,17,0.224705882352941,0
"10766",10766,17,2.96346470588235,0
"10767",10767,17,3.71394117647059,0
"10768",10768,17,0,0
"10769",10769,17,0,0
"10788",10788,4,0.11275,0
"10790",10790,5,0.03844,0
"10796",10796,20,0.69414,0
"10797",10797,20,0.845295,0
"10798",10798,20,18.87381,0.0013
"10799",10799,20,2.26394,0
"10800",10800,10,0,0
"10865",10865,17,1.44128823529412,0
"10866",10866,17,0.697341176470588,0
"10867",10867,17,0.499894117647059,0
"10868",10868,17,1.63830588235294,0
"10869",10869,17,0.0813352941176471,0
"10889",10889,4,0.817475,0
"10890",10890,5,0.90384,0
"10897",10897,20,0.309775,0
"10898",10898,20,0.37715,0
"10899",10899,20,8.137305,0
"10900",10900,20,4.615405,0
"10901",10901,20,0.118165,0
"10909",10909,20,0.21614,0
"10910",10910,20,0.843705,0
"10911",10911,20,0.15909,0
"10912",10912,10,0.04489,0
"10958",10958,17,20.0702705882353,0.0066
"10959",10959,17,1.88842352941176,0
"10960",10960,17,0.662464705882353,0
"10961",10961,17,2.03445294117647,0
"10962",10962,17,0.6623,0
"10963",10963,17,0,0
"10982",10982,4,0,0
"10983",10983,4,0,0
"10984",10984,5,1.65292,0
"10991",10991,20,0.13617,0
"10992",10992,20,1.62504,0
"10993",10993,20,2.209745,0
"10994",10994,20,0.546865,0
"10995",10995,20,0.033085,0
"11002",11002,10,0.58312,0
"11003",11003,20,0.83077,0
"11004",11004,20,0.738955,0
"11005",11005,20,0.731105,0
"11006",11006,20,0.07555,0
"11043",11043,17,0.813829411764706,0
"11044",11044,17,0.0697411764705882,0
"11045",11045,17,1.18546470588235,0
"11046",11046,17,0.465017647058823,0
"11047",11047,17,0.0348588235294118,0
"11048",11048,17,0.395064705882353,0
"11067",11067,4,0.48095,0
"11068",11068,5,14.429,0
"11069",11069,5,20.07306,0.0066
"11078",11078,20,6.331915,0
"11079",11079,20,10.57321,0
"11080",11080,20,1.32037,0
"11081",11081,20,0.26361,0
"11091",11091,20,0.09325,0
"11092",11092,20,0.87332,0
"11093",11093,20,0.06583,0
"11135",11135,17,0.993405882352941,0
"11136",11136,17,1.33305294117647,0
"11137",11137,17,0.602452941176471,0
"11138",11138,17,0.911894117647059,0
"11139",11139,17,0,0
"11140",11140,17,0,0
"11159",11159,4,0.9619,0
"11160",11160,5,27.4894,0.466
"11170",11170,20,0.32406,0
"11171",11171,20,0.43572,0
"11172",11172,20,0.731645,0
"11173",11173,20,1.99345,0
"11183",11183,10,0.10285,0
"11184",11184,20,0.11742,0
"11185",11185,20,1.351325,0
"11186",11186,20,0.12101,0
"11218",11218,17,18.7147294117647,0.0011
"11219",11219,17,1.72023529411765,0
"11220",11220,17,0.0348764705882353,0
"11221",11221,17,0.0348588235294118,0
"11222",11222,17,1.48750588235294,0
"11241",11241,4,0.760325,0
"11243",11243,5,30.37294,0.7015
"11257",11257,20,1.67903,0
"11258",11258,20,0.448605,0
"11259",11259,20,0.510965,0
"11260",11260,20,0.17332,0
"11261",11261,10,0.29995,0
"11271",11271,10,0.0387,0
"11272",11272,20,1.52661,0
"11273",11273,20,0.470005,0
"11274",11274,10,0.05606,0
"11311",11311,17,26.5377117647059,0.3741
"11312",11312,17,0.395188235294118,0
"11313",11313,17,0.0697529411764706,0
"11314",11314,17,0.0697176470588235,0
"11315",11315,17,4.69463529411765,0
"11334",11334,4,0.2886,0
"11335",11335,5,3.12766,0
"11348",11348,20,3.04889,0
"11349",11349,20,2.580145,0
"11350",11350,20,0.252355,0
"11351",11351,20,0.227795,0
"11352",11352,20,0.25534,0
"11353",11353,10,0.03389,0
"11363",11363,10,0.69839,0
"11364",11364,20,0.25639,0
"11365",11365,20,0.39133,0
"11399",11399,17,14.2315294117647,0
"11400",11400,17,26.9561764705882,0.4167
"11401",11401,17,2.95228235294118,0
"11402",11402,17,1.15098235294118,0
"11403",11403,17,3.84619411764706,0
"11404",11404,17,0,0
"11422",11422,4,0.496675,0
"11423",11423,4,0.70675,0
"11424",11424,5,20.49528,0.0117
"11437",11437,20,0.875305,0
"11438",11438,20,1.33365,0
"11439",11439,20,0.41988,0
"11440",11440,20,0.44591,0
"11441",11441,20,0.044005,0
