"","num_times_surv","kde_grid_id","kde","kde.bin","kde.75","gstat_grid_id","gstat","gstat.bin","gstat.75","persistence_grid_id","persistence","persistence.bin","persistence.75","conditional_grid_id","conditional","conditional.bin","conditional.75"
"14849",6,14849,0.373792745669683,0,0,14849,-0.187165710832355,0,0,14849,0.166666667,0,0,14849,0,0,0
"16095",4,16095,4.4855415225029,1,4.4855415225029,16095,1.63689885170433,1,1.63689885170433,16095,0.75,1,0.75,16095,0.95,1,0.95
"16240",14,16240,0.267469549179077,0,0,16240,-0.212799127113121,0,0,16240,0.714285714,1,0.714285714,16240,0,0,0
"13939",16,13939,0.000707038067369,0,0,13939,-0.286848479978038,0,0,13939,0,0,0,13939,0,0,0
"11261",10,11261,0.016103722129224,0,0,11261,-0.216944738537,0,0,11261,0.2,0,0,11261,0,0,0
"17128",27,17128,3.29508491123424,1,3.29508491123424,17128,0.579885518713428,1,0.579885518713428,17128,0.62962963,1,0.62962963,17128,0.9995,1,0.9995
"16353",14,16353,0.082970884835554,0,0,16353,-0.242482951799789,0,0,16353,0.214285714,0,0,16353,0,0,0
"16424",13,16424,0.099172743865185,0,0,16424,-0.213472825874346,0,0,16424,0.538461538,1,0.538461538,16424,0,0,0
"10769",17,10769,0.000436630923468,0,0,10769,-0.22244114312648,0,0,10769,0,0,0,10769,0,0,0
"9213",7,9213,0.000561509626589,0,0,9213,-0.256668619331042,0,0,9213,0,0,0,9213,0,0,0
"15573",14,15573,0.011684417049401,0,0,15573,-0.278751771085507,0,0,15573,0.285714286,0,0,15573,0,0,0
"11438",20,11438,0.085867208593032,0,0,11438,-0.256605978269865,0,0,11438,0.35,0,0,11438,0,0,0
"17115",13,17115,0.097069045901299,0,0,17115,-0.238005319789207,0,0,17115,0.538461538,1,0.538461538,17115,0,0,0
"15054",4,15054,0.202139820315336,0,0,15054,-0.152085044263644,0,0,15054,0.75,1,0.75,15054,0,0,0
"17008",14,17008,0.602606932322184,1,0.602606932322184,17008,-0.127289596133542,0,0,17008,0.928571429,1,0.928571429,17008,4e-04,1,4e-04
"13532",16,13532,1.56226450800896,1,1.56226450800896,13532,0.135396326539164,1,0.135396326539164,13532,0.6875,1,0.6875,13532,0.9845,1,0.9845
"15435",6,15435,0.471561831732591,1,0.471561831732591,15435,-0.0379437798087441,1,-0.0379437798087441,15435,0.166666667,0,0,15435,0,0,0
"15636",4,15636,0.037950931445641,0,0,15636,-0.26897492320919,0,0,15636,0.5,0,0,15636,0,0,0
"13962",15,13962,0.000261168825659,0,0,13962,-0.256778815106354,0,0,13962,0,0,0,13962,0,0,0
"13812",10,13812,5.1753106391e-05,0,0,13812,-0.181570974416554,0,0,13812,0,0,0,13812,0,0,0
"13130",14,13130,0.13283548305432,0,0,13130,-0.19639549977768,0,0,13130,0.5,0,0,13130,0,0,0
"16214",13,16214,0.032909388886765,0,0,16214,-0.266333531114873,0,0,16214,0.230769231,0,0,16214,0,0,0
"9912",6,9912,0.524941785633564,1,0.524941785633564,9912,-0.218028508351168,0,0,9912,0.5,0,0,9912,0,0,0
"10427",15,10427,0.148610442876816,0,0,10427,-0.213661790161031,0,0,10427,0.133333333,0,0,10427,0,0,0
"14108",20,14108,0.452778914570808,1,0.452778914570808,14108,-0.146382288262573,0,0,14108,0.65,1,0.65,14108,0,0,0
"15980",4,15980,1.76992921099851,1,1.76992921099851,15980,1.28011321984276,1,1.28011321984276,15980,0.5,0,0,15980,0,0,0
"10188",7,10188,0.506440271087922,1,0.506440271087922,10188,-0.0546853141889747,1,-0.0546853141889747,10188,0.142857143,0,0,10188,0,0,0
"15050",4,15050,0.093823765404522,0,0,15050,-0.198960841939019,0,0,15050,0.5,0,0,15050,0,0,0
"15695",27,15695,3.16312479271608,1,3.16312479271608,15695,1.22201175765485,1,1.22201175765485,15695,0.518518519,1,0.518518519,15695,0.9767,1,0.9767
"9771",6,9771,0.742345993220806,1,0.742345993220806,9771,-0.111263686374069,1,-0.111263686374069,9771,1,1,1,9771,2e-04,1,2e-04
"8954",7,8954,0.000751454925376,0,0,8954,-0.287004580910517,0,0,8954,0,0,0,8954,0,0,0
"12002",13,12002,0.647336787357926,1,0.647336787357926,12002,0.0557547696408756,1,0.0557547696408756,12002,0.615384615,1,0.615384615,12002,0,0,0
"15019",14,15019,0.241513721644878,0,0,15019,-0.123224944948582,0,0,15019,0.071428571,0,0,15019,0,0,0
"12121",17,12121,0.008932768802333,0,0,12121,-0.283664842539321,0,0,12121,0,0,0,12121,0,0,0
"11363",10,11363,0.027780557563528,0,0,11363,-0.209291114402758,0,0,11363,0.2,0,0,11363,0,0,0
"15220",4,15220,0.224448812194169,0,0,15220,-0.197465939044699,0,0,15220,0.75,1,0.75,15220,0,0,0
"8701",6,8701,0.018637268571183,0,0,8701,-0.21327163498781,0,0,8701,0.166666667,0,0,8701,0,0,0
"14940",15,14940,0.000444604588362,0,0,14940,-0.181486608728159,0,0,14940,0.066666667,0,0,14940,0,0,0
"15543",6,15543,0.628610114256541,1,0.628610114256541,15543,-0.0858835335600784,1,-0.0858835335600784,15543,0.5,0,0,15543,4e-04,1,4e-04
"15748",4,15748,0.182003252600369,0,0,15748,-0.249979904478058,0,0,15748,0.5,0,0,15748,0,0,0
"15750",4,15750,0.045810191374686,0,0,15750,-0.272253042791249,0,0,15750,0.25,0,0,15750,0,0,0
"9764",7,9764,0.004998355258354,0,0,9764,-0.285234067702662,0,0,9764,0,0,0,9764,0,0,0
"10689",20,10689,0.079174393167098,0,0,10689,-0.211892402629288,0,0,10689,0.15,0,0,10689,0,0,0
"17194",13,17194,0.099261423682465,0,0,17194,-0.245243473553102,0,0,17194,0.538461538,1,0.538461538,17194,0,0,0
"17037",27,17037,0.254443607727687,0,0,17037,-0.181069558627122,0,0,17037,0.259259259,0,0,17037,0,0,0
"10165",15,10165,0.3577946215868,0,0,10165,-0.13359433555712,0,0,10165,0.066666667,0,0,10165,0,0,0
"12120",17,12120,0.043766504671011,0,0,12120,-0.271829927105845,0,0,12120,0.058823529,0,0,12120,0,0,0
"17431",14,17431,0.120905958116055,0,0,17431,-0.24057544464486,0,0,17431,0.357142857,0,0,17431,0,0,0
"17011",14,17011,0.185101020336151,0,0,17011,-0.215419979611058,0,0,17011,0.714285714,1,0.714285714,17011,0,0,0
"14808",14,14808,0.009408530391132,0,0,14808,-0.283763432601939,0,0,14808,0.285714286,0,0,14808,0,0,0
"9633",6,9633,0.140519908256829,0,0,9633,-0.245629617965024,0,0,9633,0.5,0,0,9633,0,0,0
"13818",10,13818,0.002491607808655,0,0,13818,-0.286560925628734,0,0,13818,0.1,0,0,13818,0,0,0
"11219",17,11219,0.181410743622109,0,0,11219,-0.196145622369174,0,0,11219,0.176470588,0,0,11219,0,0,0
"15223",4,15223,0.648999640950933,1,0.648999640950933,15223,-0.196552306377475,0,0,15223,0.25,0,0,15223,0,0,0
"15656",13,15656,0.000233646711968,0,0,15656,-0.181369794698074,0,0,15656,0,0,0,15656,0,0,0
"14240",20,14240,0.489143450558186,1,0.489143450558186,14240,-0.0854618454029966,1,-0.0854618454029966,14240,0.55,1,0.55,14240,0,0,0
"11778",10,11778,0.216734439134598,0,0,11778,-0.11174980904094,1,-0.11174980904094,11778,0.5,0,0,11778,0,0,0
"12871",20,12871,0.131379521265626,0,0,12871,-0.188769655776332,0,0,12871,0.5,0,0,12871,0,0,0
"15990",13,15990,0.008143961708993,0,0,15990,-0.283857914745282,0,0,15990,0.230769231,0,0,15990,0,0,0
"17112",13,17112,0.088471828401089,0,0,17112,-0.25617464674591,0,0,17112,0.538461538,1,0.538461538,17112,0,0,0
"9214",7,9214,0.003811120975297,0,0,9214,-0.284646635246228,0,0,9214,0,0,0,9214,0,0,0
"10890",5,10890,0.0498208874727,0,0,10890,-0.204557952109213,0,0,10890,0.4,0,0,10890,0,0,0
"15586",27,15586,1.2638924519221,1,1.2638924519221,15586,0.171792491322431,1,0.171792491322431,15586,0.074074074,0,0,15586,0,0,0
"17116",13,17116,0.047169058118016,0,0,17116,-0.268765419326126,0,0,17116,0.615384615,1,0.615384615,17116,0,0,0
"14448",15,14448,0.000754323339243,0,0,14448,-0.286901882928622,0,0,14448,0,0,0,14448,0,0,0
"14912",6,14912,0.865014255046844,1,0.865014255046844,14912,0.0502843470646158,1,0.0502843470646158,14912,0.333333333,0,0,14912,0,0,0
"14310",10,14310,0.04358123736456,0,0,14310,-0.265376385923621,0,0,14310,0.1,0,0,14310,0,0,0
"9889",15,9889,2.21225525351132,1,2.21225525351132,9889,0.255799440511799,1,0.255799440511799,9889,0.733333333,1,0.733333333,9889,0.9952,1,0.9952
"13839",20,13839,0.401180188171566,0,0,13839,-0.0780366760597403,1,-0.0780366760597403,13839,0.45,0,0,13839,0,0,0
"8550",6,8550,0.006518677032242,0,0,8550,-0.218778640164734,0,0,8550,0.166666667,0,0,8550,0,0,0
"16206",4,16206,0.735118055716157,1,0.735118055716157,16206,-0.0722679211074407,1,-0.0722679211074407,16206,0.75,1,0.75,16206,0.0804,1,0.0804
"11160",5,11160,1.02397396167119,1,1.02397396167119,11160,0.0794147208984779,1,0.0794147208984779,11160,0.6,1,0.6,11160,0.466,1,0.466
"13107",16,13107,0.010965289591695,0,0,13107,-0.282950064585338,0,0,13107,0,0,0,13107,0,0,0
"14309",10,14309,0.452150017023087,1,0.452150017023087,14309,-0.118785286567992,0,0,14309,0.1,0,0,14309,0,0,0
"17123",13,17123,0.277786995470524,0,0,17123,-0.156447185996665,0,0,17123,0.846153846,1,0.846153846,17123,0,0,0
"15582",27,15582,6.45024950364057,1,6.45024950364057,15582,1.53882997583036,1,1.53882997583036,15582,0.444444444,0,0,15582,0.9998,1,0.9998
"11982",17,11982,0.041757429658901,0,0,11982,-0.260151112604849,0,0,11982,0,0,0,11982,0,0,0
"13277",14,13277,0.035681685334758,0,0,13277,-0.266727891365347,0,0,13277,0.214285714,0,0,13277,0,0,0
"17279",14,17279,0.09967396386406,0,0,17279,-0.257263245353987,0,0,17279,0.571428571,1,0.571428571,17279,0,0,0
"9491",6,9491,0.611545757452647,1,0.611545757452647,9491,-0.00580929064593792,1,-0.00580929064593792,9491,0.666666667,1,0.666666667,9491,0,0,0
"13802",16,13802,0.519386454951018,1,0.519386454951018,13802,-0.0108168442430939,1,-0.0108168442430939,13802,0.1875,0,0,13802,0,0,0
